dt,LandAverageTemperature
1856-01-01,2.76
1856-02-01,2.226
1856-03-01,4.372
1856-04-01,7.751
1856-05-01,10.53
1856-06-01,13.496
1856-07-01,14.019
1856-08-01,13.021
1856-09-01,10.948
1856-10-01,8.087
1856-11-01,5.36
1856-12-01,3.381
1857-01-01,1.821
1857-02-01,2.481
1857-03-01,4.312
1857-04-01,6.827
1857-05-01,9.885
1857-06-01,12.611
1857-07-01,13.953
1857-08-01,13.203
1857-09-01,11.056
1857-10-01,8.198
1857-11-01,5.236
1857-12-01,3.515
1858-01-01,2.739
1858-02-01,2.284
1858-03-01,4.834
1858-04-01,8.25
1858-05-01,10.851
1858-06-01,12.956
1858-07-01,13.677
1858-08-01,13.22
1858-09-01,11.148
1858-10-01,8.81
1858-11-01,5.99
1858-12-01,2.444
1859-01-01,2.015
1859-02-01,2.611
1859-03-01,5.023
1859-04-01,8.542
1859-05-01,11.456
1859-06-01,13.142
1859-07-01,13.827
1859-08-01,13.217
1859-09-01,11.08
1859-10-01,8.834
1859-11-01,5.912
1859-12-01,3.365
1860-01-01,2.077
1860-02-01,2.632
1860-03-01,3.494
1860-04-01,7.76
1860-05-01,11.062
1860-06-01,13.272
1860-07-01,14.203
1860-08-01,13.765
1860-09-01,11.892
1860-10-01,8.712
1860-11-01,5.027
1860-12-01,1.634
1861-01-01,0.404
1861-02-01,2.137
1861-03-01,4.489
1861-04-01,7.487
1861-05-01,10.516
1861-06-01,13.017
1861-07-01,13.967
1861-08-01,13.656
1861-09-01,11.409
1861-10-01,8.475
1861-11-01,5.707
1861-12-01,2.894
1862-01-01,0.685
1862-02-01,1.769
1862-03-01,4.485
1862-04-01,7.323
1862-05-01,10.739
1862-06-01,12.86
1862-07-01,13.928
1862-08-01,13.188
1862-09-01,11.028
1862-10-01,8.283
1862-11-01,4.792
1862-12-01,1.623
1863-01-01,3.034
1863-02-01,3.253
1863-03-01,4.682
1863-04-01,7.931
1863-05-01,11.081
1863-06-01,12.794
1863-07-01,13.765
1863-08-01,13.294
1863-09-01,11.23
1863-10-01,8.235
1863-11-01,5.392
1863-12-01,2.651
1864-01-01,1.551
1864-02-01,2.506
1864-03-01,4.651
1864-04-01,7.515
1864-05-01,10.956
1864-06-01,13.365
1864-07-01,14.162
1864-08-01,13.434
1864-09-01,11.37
1864-10-01,8.795
1864-11-01,5.232
1864-12-01,2.266
1865-01-01,2.975
1865-02-01,2.152
1865-03-01,4.039
1865-04-01,7.314
1865-05-01,10.917
1865-06-01,13.214
1865-07-01,14.22
1865-08-01,13.58
1865-09-01,11.797
1865-10-01,9.136
1865-11-01,6.144
1865-12-01,2.646
1866-01-01,2.932
1866-02-01,2.274
1866-03-01,4.421
1866-04-01,7.914
1866-05-01,10.898
1866-06-01,12.853
1866-07-01,14.602
1866-08-01,13.532
1866-09-01,11.527
1866-10-01,8.506
1866-11-01,5.895
1866-12-01,4.152
1867-01-01,2.482
1867-02-01,2.664
1867-03-01,4.454
1867-04-01,8.258
1867-05-01,10.495
1867-06-01,13.303
1867-07-01,14.223
1867-08-01,13.506
1867-09-01,11.763
1867-10-01,9.212
1867-11-01,6.939
1867-12-01,3.937
1868-01-01,1.834
1868-02-01,2.039
1868-03-01,4.538
1868-04-01,8.183
1868-05-01,11.308
1868-06-01,13.162
1868-07-01,14.514
1868-08-01,13.744
1868-09-01,11.669
1868-10-01,9.448
1868-11-01,5.192
1868-12-01,3.344
1869-01-01,2.115
1869-02-01,3.864
1869-03-01,4.374
1869-04-01,7.921
1869-05-01,11.295
1869-06-01,13.537
1869-07-01,14.337
1869-08-01,14.01
1869-09-01,12.247
1869-10-01,9.006
1869-11-01,5.773
1869-12-01,2.706
1870-01-01,2.082
1870-02-01,2.134
1870-03-01,4.656
1870-04-01,7.879
1870-05-01,11.339
1870-06-01,13.653
1870-07-01,14.599
1870-08-01,13.484
1870-09-01,11.952
1870-10-01,8.81
1870-11-01,5.6
1870-12-01,2.228
1871-01-01,1.447
1871-02-01,1.736
1871-03-01,4.685
1871-04-01,8.34
1871-05-01,10.788
1871-06-01,13.08
1871-07-01,14.29
1871-08-01,13.932
1871-09-01,11.711
1871-10-01,9.096
1871-11-01,5.113
1871-12-01,3.163
1872-01-01,1.652
1872-02-01,2.35
1872-03-01,4.922
1872-04-01,7.846
1872-05-01,11.198
1872-06-01,13.055
1872-07-01,14.285
1872-08-01,13.821
1872-09-01,11.958
1872-10-01,9.24
1872-11-01,5.372
1872-12-01,2.627
1873-01-01,2.013
1873-02-01,3.195
1873-03-01,4.704
1873-04-01,7.462
1873-05-01,11.006
1873-06-01,13.405
1873-07-01,14.287
1873-08-01,13.755
1873-09-01,11.487
1873-10-01,9.234
1873-11-01,5.819
1873-12-01,3.846
1874-01-01,2.685
1874-02-01,3.069
1874-03-01,4.221
1874-04-01,8.231
1874-05-01,11.306
1874-06-01,13.306
1874-07-01,14.122
1874-08-01,13.815
1874-09-01,12.111
1874-10-01,9.12
1874-11-01,5.809
1874-12-01,3.407
1875-01-01,1.533
1875-02-01,2.259
1875-03-01,4.256
1875-04-01,7.636
1875-05-01,10.746
1875-06-01,13.157
1875-07-01,14.144
1875-08-01,13.401
1875-09-01,11.319
1875-10-01,8.585
1875-11-01,4.614
1875-12-01,2.665
1876-01-01,1.856
1876-02-01,2.617
1876-03-01,4.748
1876-04-01,8.199
1876-05-01,10.69
1876-06-01,13.131
1876-07-01,14.319
1876-08-01,13.481
1876-09-01,11.687
1876-10-01,8.946
1876-11-01,5.093
1876-12-01,2.194
1877-01-01,2.286
1877-02-01,2.928
1877-03-01,5.297
1877-04-01,8.039
1877-05-01,11.056
1877-06-01,13.384
1877-07-01,14.642
1877-08-01,14.151
1877-09-01,12.075
1877-10-01,9.273
1877-11-01,6.348
1877-12-01,2.996
1878-01-01,2.017
1878-02-01,3.728
1878-03-01,6.608
1878-04-01,8.899
1878-05-01,11.017
1878-06-01,13.796
1878-07-01,14.742
1878-08-01,14.094
1878-09-01,12.093
1878-10-01,9.173
1878-11-01,6.446
1878-12-01,3.344
1879-01-01,2.303
1879-02-01,2.737
1879-03-01,4.924
1879-04-01,7.768
1879-05-01,10.803
1879-06-01,13.23
1879-07-01,14.238
1879-08-01,13.245
1879-09-01,11.449
1879-10-01,9.229
1879-11-01,5.526
1879-12-01,2.538
1880-01-01,1.755
1880-02-01,2.052
1880-03-01,4.63
1880-04-01,7.559
1880-05-01,11.096
1880-06-01,13.327
1880-07-01,14.141
1880-08-01,13.807
1880-09-01,11.386
1880-10-01,8.673
1880-11-01,5.893
1880-12-01,3.106
1881-01-01,2.461
1881-02-01,2.626
1881-03-01,5.01
1881-04-01,8.323
1881-05-01,11.165
1881-06-01,12.745
1881-07-01,14.203
1881-08-01,13.71
1881-09-01,11.689
1881-10-01,8.851
1881-11-01,5.272
1881-12-01,3.196
1882-01-01,2.99
1882-02-01,3.231
1882-03-01,5.04
1882-04-01,7.691
1882-05-01,10.888
1882-06-01,12.805
1882-07-01,13.747
1882-08-01,13.703
1882-09-01,11.736
1882-10-01,8.445
1882-11-01,5.066
1882-12-01,2.205
1883-01-01,1.46
1883-02-01,1.856
1883-03-01,4.929
1883-04-01,7.691
1883-05-01,10.832
1883-06-01,13.302
1883-07-01,14.011
1883-08-01,13.224
1883-09-01,11.343
1883-10-01,8.909
1883-11-01,4.905
1883-12-01,3.261
1884-01-01,2.12
1884-02-01,2.474
1884-03-01,3.892
1884-04-01,7.186
1884-05-01,10.198
1884-06-01,12.527
1884-07-01,13.622
1884-08-01,13.257
1884-09-01,11.235
1884-10-01,8.581
1884-11-01,5.164
1884-12-01,3.028
1885-01-01,1.003
1885-02-01,2.243
1885-03-01,4.622
1885-04-01,7.336
1885-05-01,10.567
1885-06-01,12.716
1885-07-01,13.972
1885-08-01,13.351
1885-09-01,11.435
1885-10-01,8.722
1885-11-01,5.425
1885-12-01,3.644
1886-01-01,1.436
1886-02-01,1.793
1886-03-01,4.262
1886-04-01,7.909
1886-05-01,10.784
1886-06-01,12.789
1886-07-01,14.226
1886-08-01,13.323
1886-09-01,11.6
1886-10-01,8.604
1886-11-01,5.226
1886-12-01,3.502
1887-01-01,0.824
1887-02-01,2.054
1887-03-01,4.552
1887-04-01,7.789
1887-05-01,10.84
1887-06-01,12.89
1887-07-01,14.021
1887-08-01,13.097
1887-09-01,11.707
1887-10-01,8.738
1887-11-01,5.592
1887-12-01,2.875
1888-01-01,1.708
1888-02-01,2.039
1888-03-01,4.3
1888-04-01,7.845
1888-05-01,10.62
1888-06-01,12.921
1888-07-01,14.242
1888-08-01,13.511
1888-09-01,11.685
1888-10-01,9.201
1888-11-01,5.792
1888-12-01,3.222
1889-01-01,1.762
1889-02-01,3.409
1889-03-01,5.299
1889-04-01,8.589
1889-05-01,11.242
1889-06-01,13.288
1889-07-01,14.225
1889-08-01,13.504
1889-09-01,11.547
1889-10-01,8.865
1889-11-01,4.999
1889-12-01,3.099
1890-01-01,1.836
1890-02-01,2.516
1890-03-01,4.21
1890-04-01,7.739
1890-05-01,10.464
1890-06-01,12.872
1890-07-01,14.034
1890-08-01,13.266
1890-09-01,11.546
1890-10-01,9.178
1890-11-01,5.03
1890-12-01,2.969
1891-01-01,1.678
1891-02-01,1.88
1891-03-01,4.755
1891-04-01,7.618
1891-05-01,10.785
1891-06-01,12.888
1891-07-01,13.93
1891-08-01,13.496
1891-09-01,11.763
1891-10-01,8.722
1891-11-01,5.115
1891-12-01,3.602
1892-01-01,2.018
1892-02-01,2.805
1892-03-01,4.362
1892-04-01,7.562
1892-05-01,10.622
1892-06-01,13.263
1892-07-01,13.89
1892-08-01,13.42
1892-09-01,11.764
1892-10-01,9.29
1892-11-01,4.859
1892-12-01,2.935
1893-01-01,0.5
1893-02-01,1.654
1893-03-01,4.979
1893-04-01,7.994
1893-05-01,10.747
1893-06-01,13.051
1893-07-01,14.318
1893-08-01,13.454
1893-09-01,11.767
1893-10-01,9.16
1893-11-01,5.902
1893-12-01,3.155
1894-01-01,1.691
1894-02-01,2.923
1894-03-01,5.118
1894-04-01,7.663
1894-05-01,10.944
1894-06-01,12.858
1894-07-01,14.004
1894-08-01,13.488
1894-09-01,11.58
1894-10-01,9.125
1894-11-01,5.405
1894-12-01,3.133
1895-01-01,1.295
1895-02-01,2
1895-03-01,4.689
1895-04-01,8.247
1895-05-01,10.867
1895-06-01,13.058
1895-07-01,14.053
1895-08-01,13.489
1895-09-01,11.743
1895-10-01,9.117
1895-11-01,5.744
1895-12-01,3.462
1896-01-01,2.291
1896-02-01,2.707
1896-03-01,4.279
1896-04-01,7.33
1896-05-01,10.893
1896-06-01,13.304
1896-07-01,14.233
1896-08-01,13.624
1896-09-01,11.824
1896-10-01,9.416
1896-11-01,5.366
1896-12-01,3.312
1897-01-01,1.893
1897-02-01,2.429
1897-03-01,4.345
1897-04-01,8.278
1897-05-01,11.377
1897-06-01,13.319
1897-07-01,14.31
1897-08-01,13.668
1897-09-01,11.925
1897-10-01,9.197
1897-11-01,5.608
1897-12-01,3.171
1898-01-01,2.737
1898-02-01,2.354
1898-03-01,3.751
1898-04-01,7.907
1898-05-01,10.835
1898-06-01,13.395
1898-07-01,14.138
1898-08-01,13.579
1898-09-01,11.753
1898-10-01,8.828
1898-11-01,5.452
1898-12-01,3.407
1899-01-01,2.515
1899-02-01,2.38
1899-03-01,4.618
1899-04-01,8.281
1899-05-01,11.023
1899-06-01,12.856
1899-07-01,14.159
1899-08-01,13.777
1899-09-01,12.128
1899-10-01,9.409
1899-11-01,6.605
1899-12-01,3.005
01-01-1900,1.461
01-02-1900,3.098
01-03-1900,5.492
01-04-1900,8.223
01-05-1900,11.385
01-06-1900,13.293
01-07-1900,14.171
01-08-1900,13.816
01-09-1900,11.955
01-10-1900,9.666
01-11-1900,5.804
01-12-1900,3.655
01-01-1901,2.191
01-02-1901,3.092
01-03-1901,5.671
01-04-1901,8.522
01-05-1901,11.178
01-06-1901,13.423
01-07-1901,14.339
01-08-1901,13.789
01-09-1901,11.984
01-10-1901,9.003
01-11-1901,5.976
01-12-1901,3.335
01-01-1902,2.684
01-02-1902,3.606
01-03-1902,4.883
01-04-1902,7.956
01-05-1902,10.893
01-06-1902,13.214
01-07-1902,14.231
01-08-1902,13.599
01-09-1902,11.799
01-10-1902,8.801
01-11-1902,5.274
01-12-1902,2.713
01-01-1903,2.514
01-02-1903,3.555
01-03-1903,4.93
01-04-1903,7.832
01-05-1903,10.794
01-06-1903,12.886
01-07-1903,13.992
01-08-1903,13.412
01-09-1903,11.501
01-10-1903,8.812
01-11-1903,5.516
01-12-1903,2.898
01-01-1904,1.637
01-02-1904,2.297
01-03-1904,4.506
01-04-1904,7.684
01-05-1904,10.84
01-06-1904,13.014
01-07-1904,13.836
01-08-1904,13.459
01-09-1904,11.381
01-10-1904,8.833
01-11-1904,6.23
01-12-1904,3.374
01-01-1905,2.254
01-02-1905,1.927
01-03-1905,4.635
01-04-1905,7.755
01-05-1905,10.982
01-06-1905,13.112
01-07-1905,14.077
01-08-1905,13.578
01-09-1905,11.804
01-10-1905,9.041
01-11-1905,6.183
01-12-1905,3.354
01-01-1906,2.068
01-02-1906,2.301
01-03-1906,4.866
01-04-1906,8.626
01-05-1906,11.24
01-06-1906,13.334
01-07-1906,14.122
01-08-1906,13.691
01-09-1906,11.772
01-10-1906,9.267
01-11-1906,5.501
01-12-1906,3.761
01-01-1907,1.798
01-02-1907,2.117
01-03-1907,4.575
01-04-1907,7.579
01-05-1907,10.375
01-06-1907,12.729
01-07-1907,13.769
01-08-1907,13.362
01-09-1907,11.665
01-10-1907,9.234
01-11-1907,5.207
01-12-1907,2.956
01-01-1908,2.304
01-02-1908,2.769
01-03-1908,4.136
01-04-1908,7.832
01-05-1908,11.141
01-06-1908,13.293
01-07-1908,14.197
01-08-1908,13.376
01-09-1908,11.977
01-10-1908,8.865
01-11-1908,5.272
01-12-1908,3.071
01-01-1909,1.395
01-02-1909,2.706
01-03-1909,4.589
01-04-1909,7.534
01-05-1909,10.611
01-06-1909,12.962
01-07-1909,14.06
01-08-1909,13.752
01-09-1909,11.879
01-10-1909,9.192
01-11-1909,6.236
01-12-1909,3.223
01-01-1910,2.333
01-02-1910,2.779
01-03-1910,4.606
01-04-1910,8.105
01-05-1910,11.005
01-06-1910,13.151
01-07-1910,14.279
01-08-1910,13.677
01-09-1910,11.733
01-10-1910,9.006
01-11-1910,5.318
01-12-1910,2.684
01-01-1911,1.66
01-02-1911,2.453
01-03-1911,4.347
01-04-1911,7.99
01-05-1911,10.829
01-06-1911,13.009
01-07-1911,14.082
01-08-1911,13.499
01-09-1911,11.638
01-10-1911,9.263
01-11-1911,5.964
01-12-1911,3.39
01-01-1912,2.402
01-02-1912,3.354
01-03-1912,4.356
01-04-1912,8.229
01-05-1912,11.254
01-06-1912,13.435
01-07-1912,13.723
01-08-1912,13.053
01-09-1912,11.222
01-10-1912,8.367
01-11-1912,5.521
01-12-1912,3.069
01-01-1913,2.083
01-02-1913,2.376
01-03-1913,4.517
01-04-1913,8.023
01-05-1913,10.745
01-06-1913,13.005
01-07-1913,14.137
01-08-1913,13.724
01-09-1913,11.759
01-10-1913,9.077
01-11-1913,6.024
01-12-1913,4.103
01-01-1914,3.376
01-02-1914,3.2
01-03-1914,4.942
01-04-1914,8.098
01-05-1914,11.285
01-06-1914,13.496
01-07-1914,14.298
01-08-1914,13.73
01-09-1914,11.915
01-10-1914,9.387
01-11-1914,5.759
01-12-1914,3.6
01-01-1915,2.299
01-02-1915,3.265
01-03-1915,5.143
01-04-1915,8.705
01-05-1915,11.493
01-06-1915,13.3
01-07-1915,14.443
01-08-1915,13.77
01-09-1915,11.867
01-10-1915,8.984
01-11-1915,6.216
01-12-1915,3.633
01-01-1916,2.616
01-02-1916,2.957
01-03-1916,4.846
01-04-1916,8.047
01-05-1916,10.972
01-06-1916,12.942
01-07-1916,14.052
01-08-1916,13.58
01-09-1916,11.726
01-10-1916,9.053
01-11-1916,5.596
01-12-1916,2.316
01-01-1917,2.133
01-02-1917,2.36
01-03-1917,4.488
01-04-1917,7.855
01-05-1917,10.443
01-06-1917,12.915
01-07-1917,14.259
01-08-1917,13.471
01-09-1917,11.745
01-10-1917,8.544
01-11-1917,5.82
01-12-1917,2.247
01-01-1918,1.934
01-02-1918,2.455
01-03-1918,4.811
01-04-1918,7.644
01-05-1918,10.54
01-06-1918,12.908
01-07-1918,14.002
01-08-1918,13.431
01-09-1918,11.881
01-10-1918,9.433
01-11-1918,5.683
01-12-1918,2.848
01-01-1919,2.184
01-02-1919,2.852
01-03-1919,4.743
01-04-1919,8.487
01-05-1919,10.969
01-06-1919,13.228
01-07-1919,14.274
01-08-1919,13.786
01-09-1919,11.99
01-10-1919,9.361
01-11-1919,5.489
01-12-1919,3.224
01-01-1920,2.841
01-02-1920,2.755
01-03-1920,5.227
01-04-1920,8.293
01-05-1920,11.131
01-06-1920,13.105
01-07-1920,14.245
01-08-1920,13.698
01-09-1920,11.794
01-10-1920,9.021
01-11-1920,5.566
01-12-1920,2.629
01-01-1921,2.98
01-02-1921,3.125
01-03-1921,5.081
01-04-1921,8.324
01-05-1921,11.245
01-06-1921,13.44
01-07-1921,14.436
01-08-1921,13.561
01-09-1921,11.869
01-10-1921,9.264
01-11-1921,5.864
01-12-1921,3.663
01-01-1922,2.15
01-02-1922,2.376
01-03-1922,5.156
01-04-1922,8.38
01-05-1922,11.097
01-06-1922,13.331
01-07-1922,14.278
01-08-1922,13.584
01-09-1922,11.775
01-10-1922,9.056
01-11-1922,6.046
01-12-1922,3.667
01-01-1923,2.487
01-02-1923,2.563
01-03-1923,4.866
01-04-1923,7.749
01-05-1923,10.849
01-06-1923,13.296
01-07-1923,13.984
01-08-1923,13.611
01-09-1923,11.883
01-10-1923,9.52
01-11-1923,6.378
01-12-1923,3.88
01-01-1924,2.339
01-02-1924,2.888
01-03-1924,5.352
01-04-1924,7.97
01-05-1924,11.188
01-06-1924,13.342
01-07-1924,14.304
01-08-1924,13.654
01-09-1924,11.957
01-10-1924,9.203
01-11-1924,6.4
01-12-1924,3.485
01-01-1925,2.268
01-02-1925,2.701
01-03-1925,5.126
01-04-1925,8.442
01-05-1925,11.039
01-06-1925,13.089
01-07-1925,14.066
01-08-1925,13.769
01-09-1925,11.979
01-10-1925,9.196
01-11-1925,6.34
01-12-1925,4.398
01-01-1926,3.453
01-02-1926,3.717
01-03-1926,5.831
01-04-1926,8.193
01-05-1926,10.931
01-06-1926,13.285
01-07-1926,14.168
01-08-1926,13.877
01-09-1926,12.075
01-10-1926,9.55
01-11-1926,6.3
01-12-1926,3.366
01-01-1927,2.372
01-02-1927,3.039
01-03-1927,4.668
01-04-1927,8.035
01-05-1927,11.104
01-06-1927,13.272
01-07-1927,14.323
01-08-1927,13.698
01-09-1927,12.254
01-10-1927,9.887
01-11-1927,6.346
01-12-1927,3.267
01-01-1928,3.046
01-02-1928,3.333
01-03-1928,4.959
01-04-1928,8.244
01-05-1928,11.169
01-06-1928,13.113
01-07-1928,14.31
01-08-1928,13.687
01-09-1928,12.03
01-10-1928,9.486
01-11-1928,6.336
01-12-1928,3.873
01-01-1929,2.054
01-02-1929,2.172
01-03-1929,5.099
01-04-1929,8.094
01-05-1929,10.915
01-06-1929,12.928
01-07-1929,13.957
01-08-1929,13.68
01-09-1929,11.807
01-10-1929,9.46
01-11-1929,6.172
01-12-1929,2.571
01-01-1930,2.401
01-02-1930,3.152
01-03-1930,5.483
01-04-1930,8.182
01-05-1930,11.105
01-06-1930,13.347
01-07-1930,14.465
01-08-1930,13.928
01-09-1930,11.874
01-10-1930,9.261
01-11-1930,6.574
01-12-1930,3.831
01-01-1931,2.761
01-02-1931,2.708
01-03-1931,5.22
01-04-1931,8.163
01-05-1931,11.02
01-06-1931,13.573
01-07-1931,14.576
01-08-1931,14.12
01-09-1931,12.283
01-10-1931,9.937
01-11-1931,6.243
01-12-1931,4.027
01-01-1932,3.604
01-02-1932,2.989
01-03-1932,4.94
01-04-1932,8.769
01-05-1932,11.239
01-06-1932,13.383
01-07-1932,14.372
01-08-1932,13.74
01-09-1932,12.31
01-10-1932,9.682
01-11-1932,5.908
01-12-1932,3.527
01-01-1933,2.169
01-02-1933,2.657
01-03-1933,4.869
01-04-1933,8.125
01-05-1933,11.047
01-06-1933,13.11
01-07-1933,14.236
01-08-1933,13.76
01-09-1933,11.854
01-10-1933,9.238
01-11-1933,5.89
01-12-1933,3.104
01-01-1934,2.476
01-02-1934,3.699
01-03-1934,4.818
01-04-1934,8.016
01-05-1934,11.478
01-06-1934,13.402
01-07-1934,14.343
01-08-1934,13.778
01-09-1934,11.727
01-10-1934,9.421
01-11-1934,6.397
01-12-1934,3.985
01-01-1935,2.175
01-02-1935,4.125
01-03-1935,5.399
01-04-1935,7.771
01-05-1935,10.906
01-06-1935,13.326
01-07-1935,14.331
01-08-1935,13.775
01-09-1935,11.999
01-10-1935,9.516
01-11-1935,5.443
01-12-1935,3.423
01-01-1936,2.249
01-02-1936,2.506
01-03-1936,5.031
01-04-1936,8.127
01-05-1936,11.251
01-06-1936,13.363
01-07-1936,14.629
01-08-1936,13.86
01-09-1936,12.021
01-10-1936,9.457
01-11-1936,6.233
01-12-1936,3.921
01-01-1937,2.453
01-02-1937,3.553
01-03-1937,4.851
01-04-1937,8.14
01-05-1937,11.422
01-06-1937,13.603
01-07-1937,14.375
01-08-1937,14.007
01-09-1937,12.413
01-10-1937,9.729
01-11-1937,6.356
01-12-1937,3.478
01-01-1938,2.91
01-02-1938,3.417
01-03-1938,5.651
01-04-1938,8.913
01-05-1938,11.456
01-06-1938,13.321
01-07-1938,14.482
01-08-1938,13.963
01-09-1938,12.427
01-10-1938,9.784
01-11-1938,6.53
01-12-1938,3.51
01-01-1939,2.932
01-02-1939,3.232
01-03-1939,4.926
01-04-1939,8.328
01-05-1939,11.524
01-06-1939,13.531
01-07-1939,14.395
01-08-1939,13.932
01-09-1939,11.958
01-10-1939,9.218
01-11-1939,6.189
01-12-1939,4.959
01-01-1940,2.335
01-02-1940,3.423
01-03-1940,5.424
01-04-1940,8.756
01-05-1940,11.338
01-06-1940,13.583
01-07-1940,14.571
01-08-1940,13.811
01-09-1940,12.268
01-10-1940,9.457
01-11-1940,6.076
01-12-1940,4.134
01-01-1941,2.735
01-02-1941,3.67
01-03-1941,5.213
01-04-1941,8.575
01-05-1941,11.493
01-06-1941,13.63
01-07-1941,14.694
01-08-1941,14.028
01-09-1941,11.816
01-10-1941,9.71
01-11-1941,5.953
01-12-1941,3.707
01-01-1942,3.103
01-02-1942,2.857
01-03-1942,5.308
01-04-1942,8.416
01-05-1942,11.338
01-06-1942,13.578
01-07-1942,14.242
01-08-1942,13.786
01-09-1942,12.146
01-10-1942,9.627
01-11-1942,6.395
01-12-1942,3.945
01-01-1943,2.396
01-02-1943,3.513
01-03-1943,5.138
01-04-1943,8.638
01-05-1943,11.485
01-06-1943,13.161
01-07-1943,14.46
01-08-1943,13.774
01-09-1943,12.096
01-10-1943,9.907
01-11-1943,6.26
01-12-1943,4.233
01-01-1944,3.504
01-02-1944,3.591
01-03-1944,5.531
01-04-1944,8.434
01-05-1944,11.334
01-06-1944,13.478
01-07-1944,14.468
01-08-1944,14.017
01-09-1944,12.45
01-10-1944,9.808
01-11-1944,6.091
01-12-1944,3.434
01-01-1945,2.525
01-02-1945,2.646
01-03-1945,5.184
01-04-1945,8.681
01-05-1945,11.097
01-06-1945,13.328
01-07-1945,14.213
01-08-1945,14.313
01-09-1945,12.225
01-10-1945,9.575
01-11-1945,6.073
01-12-1945,3.158
01-01-1946,2.979
01-02-1946,3.461
01-03-1946,5.236
01-04-1946,8.837
01-05-1946,11.355
01-06-1946,13.298
01-07-1946,14.409
01-08-1946,13.834
01-09-1946,12.064
01-10-1946,9.281
01-11-1946,6.235
01-12-1946,3.134
01-01-1947,2.597
01-02-1947,3.277
01-03-1947,5.801
01-04-1947,8.686
01-05-1947,11.329
01-06-1947,13.459
01-07-1947,14.349
01-08-1947,13.827
01-09-1947,12.166
01-10-1947,10.011
01-11-1947,6.407
01-12-1947,3.656
01-01-1948,3.366
01-02-1948,3.22
01-03-1948,4.919
01-04-1948,8.499
01-05-1948,11.537
01-06-1948,13.664
01-07-1948,14.445
01-08-1948,13.896
01-09-1948,12.155
01-10-1948,9.584
01-11-1948,6.185
01-12-1948,3.491
01-01-1949,3.219
01-02-1949,2.759
01-03-1949,5.077
01-04-1949,8.344
01-05-1949,11.309
01-06-1949,13.223
01-07-1949,14.199
01-08-1949,13.826
01-09-1949,11.957
01-10-1949,9.531
01-11-1949,6.148
01-12-1949,3.449
01-01-1950,2.008
01-02-1950,2.721
01-03-1950,5.247
01-04-1950,8.123
01-05-1950,11.297
01-06-1950,13.382
01-07-1950,14.14
01-08-1950,13.46
01-09-1950,11.952
01-10-1950,9.153
01-11-1950,5.372
01-12-1950,3.528
01-01-1951,2.138
01-02-1951,2.332
01-03-1951,5.091
01-04-1951,8.367
01-05-1951,11.438
01-06-1951,13.25
01-07-1951,14.324
01-08-1951,14.021
01-09-1951,12.324
01-10-1951,9.67
01-11-1951,6.225
01-12-1951,4.328
01-01-1952,3.049
01-02-1952,3.396
01-03-1952,4.967
01-04-1952,8.461
01-05-1952,11.352
01-06-1952,13.442
01-07-1952,14.549
01-08-1952,13.964
01-09-1952,12.238
01-10-1952,9.157
01-11-1952,5.425
01-12-1952,3.659
01-01-1953,2.964
01-02-1953,3.629
01-03-1953,5.712
01-04-1953,8.892
01-05-1953,11.514
01-06-1953,13.612
01-07-1953,14.392
01-08-1953,14.059
01-09-1953,12.199
01-10-1953,9.59
01-11-1953,5.924
01-12-1953,3.998
01-01-1954,2.059
01-02-1954,3.084
01-03-1954,5.148
01-04-1954,8.158
01-05-1954,10.988
01-06-1954,13.4
01-07-1954,14.241
01-08-1954,13.868
01-09-1954,12.098
01-10-1954,9.546
01-11-1954,6.579
01-12-1954,3.559
01-01-1955,3.412
01-02-1955,3.137
01-03-1955,4.585
01-04-1955,8.136
01-05-1955,11.192
01-06-1955,13.56
01-07-1955,14.242
01-08-1955,14.283
01-09-1955,11.954
01-10-1955,9.735
01-11-1955,5.973
01-12-1955,3.306
01-01-1956,2.466
01-02-1956,2.781
01-03-1956,4.889
01-04-1956,7.922
01-05-1956,10.721
01-06-1956,13.16
01-07-1956,14.18
01-08-1956,13.189
01-09-1956,11.783
01-10-1956,8.928
01-11-1956,5.738
01-12-1956,3.598
01-01-1957,2.488
01-02-1957,3.12
01-03-1957,5.036
01-04-1957,8.366
01-05-1957,11.259
01-06-1957,13.783
01-07-1957,14.129
01-08-1957,14.082
01-09-1957,12.312
01-10-1957,9.496
01-11-1957,6.391
01-12-1957,4.328
01-01-1958,3.574
01-02-1958,3.695
01-03-1958,5.453
01-04-1958,8.52
01-05-1958,11.519
01-06-1958,13.187
01-07-1958,14.438
01-08-1958,13.597
01-09-1958,11.845
01-10-1958,9.375
01-11-1958,6.26
01-12-1958,3.822
01-01-1959,2.959
01-02-1959,3.33
01-03-1959,5.854
01-04-1959,8.819
01-05-1959,11.323
01-06-1959,13.577
01-07-1959,14.449
01-08-1959,13.853
01-09-1959,11.946
01-10-1959,9.16
01-11-1959,5.752
01-12-1959,3.77
01-01-1960,2.713
01-02-1960,3.798
01-03-1960,4.303
01-04-1960,8.133
01-05-1960,10.872
01-06-1960,13.484
01-07-1960,14.198
01-08-1960,13.825
01-09-1960,12.095
01-10-1960,9.497
01-11-1960,5.828
01-12-1960,4.259
01-01-1961,2.926
01-02-1961,3.683
01-03-1961,5.589
01-04-1961,8.631
01-05-1961,11.624
01-06-1961,13.702
01-07-1961,14.288
01-08-1961,13.849
01-09-1961,12.247
01-10-1961,9.328
01-11-1961,6.205
